270,549,0
230,549,0
230,583,0
270,583,0
410,545,0
364,545,0
364,582,0
410,582,0
298,426,0
247,426,0
247,448,0
298,448,0
380,422,0
327,422,0
327,444,0
380,444,0
299,347,0
194,347,0
194,374,0
299,374,0
293,298,0
188,298,0
188,326,0
293,326,0
431,297,0
325,297,0
325,320,0
431,320,0
424,345,0
319,345,0
319,371,0
424,371,0
296,72,0
253,72,0
253,139,0
296,139,0
373,73,0
337,73,0
337,132,0
373,132,0
417,168,0
393,168,0
393,273,0
417,273,0
376,181,0
326,180,0
326,204,0
376,203,0
377,224,0
327,224,0
327,250,0
377,248,0
298,219,0
257,219,0
257,263,0
298,263,0
298,168,0
255,168,0
255,210,0
298,210,0
248,175,0
174,175,0
174,201,0
248,201,0
244,230,0
171,230,0
171,256,0
244,256,0
237,208,0
186,208,0
186,224,0
237,224,0

//belakang pau, belakang perpus
237,81,0
203,81,0
203,138,0
237,138,0
429,71,0
400,71,0
400,144,0
429,144,0
